Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Czy Twoja aplikacja zbiera lub udostępnia którykolwiek z wymaganych typów danych użytkownika?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Czy wszystkie dane użytkownika zbierane przez Twoją aplikację są zaszyfrowane podczas przesyłania?
PSL_DATA_COLLECTION_USER_REQUEST_DELETE,,false,MAYBE_REQUIRED,Czy zapewniasz użytkownikom możliwość przesłania prośby o usunięcie ich danych?
PSL_DATA_TYPES_PERSONAL,PSL_NAME,true,MULTIPLE_CHOICE,"Dane osobowe
Nazwa"
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,true,MULTIPLE_CHOICE,"Dane osobowe
Adres e-mail"
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,true,MULTIPLE_CHOICE,"Dane osobowe
Dane umożliwiające identyfikację osoby"
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,true,MULTIPLE_CHOICE,"Dane osobowe
Adres"
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,true,MULTIPLE_CHOICE,"Dane osobowe
Numer telefonu"
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,"Dane osobowe
Rasa i narodowość"
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,"Dane osobowe
Poglądy polityczne lub wyznanie"
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,true,MULTIPLE_CHOICE,"Dane osobowe
Orientacja seksualna lub tożsamość płciowa"
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,"Dane osobowe
Inne dane osobowe"
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,"Informacje finansowe
Historia zakupów"
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,"Informacje finansowe
Informacje kredytowe"
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,"Informacje finansowe
Numer karty kredytowej lub debetowej albo rachunku bankowego"
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,"Informacje finansowe
Inne informacje finansowe"
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,,MULTIPLE_CHOICE,"Lokalizacja
Przybliżona lokalizacja"
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,"Lokalizacja
Dokładna lokalizacja"
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,"Przeglądanie internetu
Historia przeglądania internetu"
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,true,MULTIPLE_CHOICE,"Wiadomości
Adresy e-mail"
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,true,MULTIPLE_CHOICE,"Wiadomości
Wiadomości SMS lub MMS"
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,"Wiadomości
Inne wiadomości wysyłane w aplikacji"
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,true,MULTIPLE_CHOICE,"Zdjęcia i filmy
Zdjęcia"
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,true,MULTIPLE_CHOICE,"Zdjęcia i filmy
Filmy"
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,true,MULTIPLE_CHOICE,"Pliki dźwiękowe
Nagrania głosu lub dźwięku"
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,"Pliki dźwiękowe
Pliki muzyczne"
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,true,MULTIPLE_CHOICE,"Pliki dźwiękowe
Inne pliki dźwiękowe"
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,true,MULTIPLE_CHOICE,"Zdrowie i sprawność fizyczna
Informacje zdrowotne"
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,"Zdrowie i sprawność fizyczna
Informacje o sprawności fizycznej"
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,"Kontakty
Kontakty"
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,true,MULTIPLE_CHOICE,"Kalendarz
Wydarzenia w kalendarzu"
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,,MULTIPLE_CHOICE,"Informacje o aplikacjach i ich działaniu
Dzienniki błędów"
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,,MULTIPLE_CHOICE,"Informacje o aplikacjach i ich działaniu
Diagnostyka"
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,"Informacje o aplikacjach i ich działaniu
Inne dane o działaniu aplikacji"
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,true,MULTIPLE_CHOICE,"Pliki i dokumenty
Pliki i dokumenty"
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,,MULTIPLE_CHOICE,"Aktywność w aplikacjach
Wyświetlenia stron i kliknięcia w aplikacji"
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,"Aktywność w aplikacjach
Historia wyszukiwania w aplikacji"
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,"Aktywność w aplikacjach
Zainstalowane aplikacje"
